Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C301, C401, C501, C601, C701",0805,6,1u,C28323
"C202, C302, C402, C502, C602, C702",0603,6,220n,C21120
"D101, D102",D_SMA,2,SS14,C2480
"D201, D202, D203, D204, D301, D302, D303, D304, D401, D402, D403, D404, D501, D502, D503, D504, D601, D602, D603, D604, D701, D702, D703, D704",LED_Rectangular_W5.0mm_H2.0mm,24,LED,-
"H101, H102, H103, H104",MountingHole_4.3mm_M4_DIN965_Pad_TopBottom,4,MountingHole_Pad,-
"J101, J102",PHD_02x04V-H,2,PHD_02x04V-H,-
"L201, L301, L401, L501, L601, L701",1008,6,22uH,C65856
"R101, R102, R103, R104, R105, R106",0603,6,4k7,C25819
"R107, R108, R109, R110, R111, R112",0603,6,1k,C21190
"R201, R301, R401, R501, R601, R701",0603,6,10,C17903
RV101,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer,C60620
"U201, U301, U401, U501, U601, U701",TSOP-6_1.65x3.05mm_P0.95mm,6,AP3019A,C44956
